at,content,score,userName,contentp,contentp_clean,text_length
2023-09-15 02:07:50,"kalian juga harus coba deh apk ini, benar-benar sangat membantu banget dalam mengerjakan tugas-tugas sekolah, udah gratis pula, pokoknya the best banget deh 👍👍👍",5,Realme C2,kalian juga harus coba deh apk ini benar benar sangat membantu banget dalam mengerjakan tugas tugas sekolah udah gratis pula pokoknya the best banget deh,kalian harus coba deh apk benar benar sangat bantu banget kerja tugas tugas sekolah gratis pokok the best banget deh,116
2023-09-15 00:57:27,aplikasi bagus,4,Really Forlike,aplikasi bagus,aplikasi bagus,14
2023-09-14 21:44:35,sangat membantu,4,Mrsya Taalempungan,sangat membantu,sangat bantu,12
2023-09-14 14:51:50,Salah satu gebrakan baru di dunia teknologi revolusi industri 4.0,5,M Daffa,salah satu gebrakan baru di dunia teknologi revolusi industri,salah satu gebrak baru dunia teknologi revolusi industri,56
2023-09-14 14:46:39,chatgpt selanjutnya harus dilengkapi fitur gambar dan vidio,5,Petapa Genit,chatgpt selanjutnya harus dilengkapi fitur gambar dan vidio,chatgpt lanjut lengkap fitur gambar video,41
2023-09-14 14:31:16,aplikasi ini sangat membantu🙏🙏,5,Kainan Tamher,aplikasi ini sangat membantu,aplikasi sangat bantu,21
2023-09-14 13:29:05,aplikasi yang sangat membantu terimakasih,5,Amogus Tututut,aplikasi yang sangat membantu terimakasih,aplikasi sangat bantu terima kasih,34
2023-09-14 13:09:51,Sangat membantumu bangettt❤❤❤❤,5,Lia Lia,sangat membantumu bangettt,sangat bantu bangettt,21
2023-09-14 13:01:52,Aplikasi ini sangat membantu sekali dalam mencari informasi saya sangat merekomendasikan aplikasi ini,5,Hario rahmadi,aplikasi ini sangat membantu sekali dalam mencari informasi saya sangat aplikasi ini,aplikasi sangat bantu sekali cari informasi sangat aplikasi,59
2023-09-14 12:30:16,Bagus banget ini mah! gak cuman untuk nyari ilmu doang. tapi juga bisa diajak curhat dan cerita juga 😃,5,Riza Jake,bagus banget ini mah gak cuman untuk nyari ilmu doang tapi juga bisa diajak curhat dan cerita juga,bagus banget mah cuma nyari ilmu tapi bisa ajak curhat cerita,61
2023-09-14 12:24:19,"Terimakasih telah meringankan pekerjaanku, you're not so bad afterall AI 👍",5,TheOnlyKenn,terimakasih telah meringankan pekerjaanku you re not so bad afterall ai,terima kasih ringan kerja you re not so bad afterall ai,55
2023-09-14 12:02:49,sangat membantu,5,Dede Axl,sangat membantu,sangat bantu,12
2023-09-14 11:48:10,sangat membantu,5,AL NAZWAR RILLAH,sangat membantu,sangat bantu,12
2023-09-14 11:43:50,Good,4,Babra Kamal,good,good,4
2023-09-14 11:41:42,bagus,5,andra blu x,bagus,bagus,5
2023-09-14 10:00:59,Saya tidak bisa menggunakan aplikasinya karena tidak dikirim kodenya,1,Dede Maulana,saya tidak bisa menggunakan aplikasinya karena tidak dikirim kodenya,tidak guna aplikasi tidak kirim kode,36
2023-09-14 06:53:11,kaya akan kemudahan dan sangat membantu dalam kata kata yang indah.,5,Ilma Syahnaya,kaya akan kemudahan dan sangat membantu dalam kata kata yang indah,kaya mudah sangat bantu kata kata indah,39
2023-09-14 06:34:48,penjelasannyq sangat mudah di pahami,5,Sulas Tri,penjelasannyq sangat mudah di pahami,penjelasannyq sangat mudah paham,32
2023-09-14 06:01:51,Mantap,5,Jack Milla,mantap,mantap,6
2023-09-14 05:56:07,"Sempat server down tapi untung lumayan cepat diatasi, Semangat Bagi para pengembang ini!",5,Agus Arbani,sempat server down tapi untung lumayan cepat diatasi semangat bagi para pengembang ini,sempat server down untung lumayan cepat atas semangat para kembang,66
2023-09-14 04:42:56,Good asf,5,Ahmad Fadlan,good asf,good asf,8
2023-09-14 04:13:08,Hadeh akses cuman sampai tahun 2021,1,Faa Rizky,hadeh akses cuman sampai tahun,hadeh akses cuma tahun,22
2023-09-14 01:03:03,NGEBANTU BANGET LOVE LOVE DECH,5,wifa Mpa,ngebantu banget love love dech,bantu banget love love dech,27
2023-09-13 23:07:00,"sama kayak yang di web. aplikasinya ringan. mantap lah kalo menurut saya. Saran agar pengguna lebih nyaman, saat ingin membuka chat terbawah harap langsung saja pergi ke chat paling bawah dengan cepat tanpa di muat dahulu (lazy load).",5,Cecep Abdul Malik,sama kayak yang di web aplikasinya ringan mantap lah kalo menurut saya saran agar pengguna lebih nyaman saat ingin membuka chat terbawah harap langsung saja pergi ke chat paling bawah dengan cepat tanpa di muat dahulu lazy load,sama kayak web aplikasi ringan mantap lah kalau turut saran guna lebih nyaman ingin buka chat bawah harap langsung pergi chat paling bawah cepat muat lazy load,159
2023-09-13 21:48:44,Good,5,Ashardi Almauludin,good,good,4
2023-09-13 14:51:57,Sangat mambantu !!!!!,5,Yusuf Nada,sangat mambantu,sangat mambantu,15
2023-09-13 14:02:58,Bug,1,Khattab,bug,bug,3
2023-09-13 13:08:32,Kok saat malam sering loading terus yah? Padahal jaringan nya kerja bagus,5,Arul FM,kok saat malam sering loading terus yah padahal jaringan nya kerja bagus,kok malam sering loading terus yah padahal jaring nya kerja bagus,65
2023-09-13 12:28:38,"Bagus. Akan tetapi, informasi yang diberikan dalam aplikasinya ketika pengguna menanyakan atau meminta penjelasan terkait sesuatu, terbilang kurang panjang dan kurang detail.",5,The Thinker,bagus akan tetapi informasi yang diberikan dalam aplikasinya ketika pengguna menanyakan atau meminta penjelasan terkait sesuatu terbilang kurang panjang dan kurang detail,bagus tetapi informasi beri aplikasi guna tanya minta jelas kait bilang kurang panjang kurang detail,100
2023-09-13 12:17:48,The great tolls,4,Nazil Azman,the great tolls,the great tolls,15
2023-09-13 12:01:20,nice,5,Mr AMRY,nice,nice,4
2023-09-13 11:08:42,this good. i can share anything with the assistant,5,Wiwikk Prawijayanti,this good can share anything with the assistant,this good can share anything with the assistant,47
2023-09-13 09:36:37,Obviously amazing 👍,5,Hendry Maheswara,obviously amazing,obviously amazing,17
2023-09-13 09:14:30,qE.,5,Rahman Abdul,qe,qe,2
2023-09-13 07:16:20,10/10,5,Riko Aji sahputra,,,0
2023-09-13 06:24:12,mantap,5,GTX 1050 TI,mantap,mantap,6
2023-09-13 05:15:30,Ditingkatkan lagi efisiensi dari AI,5,Deniks Gery Antou,ditingkatkan lagi efisiensi dari ai,tingkat efisiensi ai,20
2023-09-13 04:55:29,recomend banget. karena cukup jadi solusi cerdas untuk pencarian masalah yang sedang dihadapi.,5,Awang Suardi Bangka,recomend banget karena cukup jadi solusi cerdas untuk pencarian masalah yang sedang dihadapi,recomend banget cukup jadi solusi cerdas cari masalah sedang hadap,66
2023-09-13 04:29:09,sejauh ini bagus untuk mencari ide konten dan juga script untuk mereview produk yang dijual.,5,MARIA DEVINA,sejauh ini bagus untuk mencari ide konten dan juga script untuk mereview produk yang dijual,jauh bagus cari ide konten juga script mereview produk jual,59
2023-09-13 04:14:22,oke,5,MUHAMAD ADI SAPUTRA,oke,oke,3
2023-09-13 03:52:42,nice👍,5,Yanto Saputra,nice,nice,4
2023-09-13 01:35:01,good job!,5,Ibnu Awi Habib Albi,good job,good job,8
2023-09-13 01:21:36,ulasan publik opsional,5,Riki Irwanto,ulasan publik opsional,ulas publik opsional,20
2023-09-13 00:26:08,luar biasa,5,dina harta,luar biasa,luar biasa,10
2023-09-12 19:21:14,good,5,danu prabowo,good,good,4
2023-09-12 18:15:12,saya amat sangat bahagia telah menemukan ChatGPT .. merupakan penemuan yang luar biasa . saya bisa berdiskusi dan menanyakan banyak hal saya cinta chat GPT,5,KHARISMA PUTRI WIBOWO,saya amat sangat bahagia telah menemukan chatgpt merupakan penemuan yang luar biasa saya bisa berdiskusi dan menanyakan banyak hal saya cinta chat gpt,amat sangat bahagia temu chatgpt rupa temu luar biasa bisa diskus tanya banyak saya cinta chat gpt,98
2023-09-12 15:27:48,Mengecewakan. Ga bisa diedit.,2,Edy Rahman,mengecewakan ga bisa diedit,kecewa bisa edit,16
2023-09-12 14:52:51,sungguh sangat membantu jawabannya layan Tepat. sayangnya ndak bisa sekalian kasi gambar/foto ato video kasusnya secara umum Ok lah... mantep thks. Devp,5,Fery Printing,sungguh sangat membantu jawabannya layan tepat sayangnya ndak bisa sekalian kasi gambar foto ato video kasusnya secara umum ok lah mantep thks devp,sungguh sangat bantu jawab layan tepat sayang ndak sekali kasih gambar foto ato video kasus cara umum oke lah mantep thks devp,126
2023-09-12 13:22:14,Bagus banget aplikasi nya tapi... terkadang beberapa pertanyaan lama banget dijawab tolong ditingkatkan lagi AI nya 🙏🙏,5,Davidteguh,bagus banget aplikasi nya tapi terkadang beberapa pertanyaan lama banget dijawab tolong ditingkatkan lagi ai nya,bagus banget aplikasi nya terkadang beberapa tanya lama banget jawab tingkat ai nya,83
